country,city,aqi,aqi_category,co_aqi,co_aqi_category,ozone_aqi,ozone_aqi_category,no2_aqi,no2_aqi_category,pm25_aqi,pm2.5_aqi_category
Uzbekistan,Romitan,167,unhealthy,1,good,47,good,0,good,167,unhealthy
Germany,Siegburg,47,good,1,good,35,good,2,good,47,good
Sudan,Sinnar,57,moderate,1,good,16,good,0,good,57,moderate
Serbia,Smederevo,65,moderate,1,good,38,good,2,good,65,moderate
Lithuania,Plunge,59,moderate,1,good,39,good,0,good,59,moderate
Portugal,Pontinha,37,good,1,good,37,good,4,good,17,good
United Kingdom of Great Britain and Northern Ireland,Prestwich,62,moderate,1,good,15,good,11,good,62,moderate
Brazil,Prudentopolis,55,moderate,1,good,16,good,0,good,55,moderate
Turkey,Bahce,45,good,1,good,44,good,0,good,45,good
Thailand,Bang Saphan,19,good,1,good,16,good,0,good,19,good
India,Baramula,152,unhealthy,3,good,37,good,3,good,152,unhealthy
Poland,Bartoszyce,36,good,1,good,36,good,0,good,22,good
France,Begles,41,good,1,good,41,good,0,good,25,good
United States of America,Bethpage,61,moderate,2,good,38,good,9,good,61,moderate
India,Bijni,126,unhealthy for sensitive groups,4,good,27,good,6,good,126,unhealthy for sensitive groups
Russian Federation,Borodino,44,good,1,good,28,good,0,good,44,good
United States of America,Bridgeport,54,moderate,1,good,39,good,7,good,54,moderate
Australia,Caboolture,24,good,0,good,21,good,8,good,24,good
Colombia,Cali,30,good,1,good,14,good,1,good,30,good
United States of America,Campbellsville,41,good,2,good,36,good,4,good,41,good
France,Carcassonne,43,good,1,good,43,good,0,good,36,good
United Kingdom of Great Britain and Northern Ireland,Chapeltown,43,good,1,good,35,good,1,good,43,good
United Republic of Tanzania,Chato,33,good,1,good,22,good,0,good,33,good
Guatemala,Chisec,57,moderate,1,good,19,good,0,good,57,moderate
Cuba,Cienfuegos,43,good,1,good,31,good,0,good,43,good
New Zealand,Gisborne,27,good,0,good,27,good,0,good,7,good
Russian Federation,Gorodovikovsk,47,good,1,good,47,good,0,good,17,good
Russian Federation,Gramoteino,42,good,1,good,22,good,6,good,42,good
Canada,Grand Centre,41,good,1,good,27,good,0,good,41,good
Brazil,Guararapes,58,moderate,1,good,24,good,0,good,58,moderate
Russian Federation,Gudermes,60,moderate,1,good,45,good,2,good,60,moderate
China,Hanting,165,unhealthy,7,good,73,moderate,16,good,165,unhealthy
India,Haridwar,163,unhealthy,5,good,25,good,12,good,163,unhealthy
China,Hengshan,137,unhealthy for sensitive groups,3,good,29,good,10,good,137,unhealthy for sensitive groups
United States of America,Hybla Valley,50,good,1,good,50,good,1,good,38,good
Nigeria,Ife,77,moderate,2,good,41,good,0,good,77,moderate
Nigeria,Ifo,80,moderate,2,good,38,good,1,good,80,moderate
Pakistan,Isa Khel,178,unhealthy,3,good,115,unhealthy for sensitive groups,2,good,178,unhealthy
Turkey,Islahiye,44,good,1,good,44,good,0,good,41,good
India,Jhabua,135,unhealthy for sensitive groups,1,good,36,good,2,good,135,unhealthy for sensitive groups
India,Jugsalai,148,unhealthy for sensitive groups,3,good,32,good,5,good,148,unhealthy for sensitive groups
Turkmenistan,Kaka,123,unhealthy for sensitive groups,1,good,40,good,0,good,123,unhealthy for sensitive groups
India,Kavali,92,moderate,2,good,46,good,1,good,92,moderate
United States of America,Keizer,53,moderate,2,good,21,good,6,good,53,moderate
United States of America,Stuart,60,moderate,1,good,17,good,10,good,60,moderate
Venezuela (Bolivarian Republic of),San Joaquin,63,moderate,1,good,14,good,8,good,63,moderate
Italy,Santa Maria Capua Vetere,58,moderate,1,good,48,good,3,good,58,moderate
Brazil,Santa Vitoria Do Palmar,18,good,1,good,9,good,1,good,18,good
Brazil,Sao Raimundo Nonato,22,good,0,good,13,good,0,good,22,good
Germany,Selb,66,moderate,1,good,41,good,1,good,66,moderate
France,Vieux Conde,59,moderate,1,good,33,good,3,good,59,moderate
Portugal,Vila Franca De Xira,29,good,1,good,29,good,4,good,27,good
Brazil,Vilhena,33,good,1,good,1,good,0,good,33,good
Germany,Waltershausen,54,moderate,1,good,36,good,4,good,54,moderate
United States of America,Washington,66,moderate,2,good,32,good,7,good,66,moderate
India,Khuldabad,149,unhealthy for sensitive groups,1,good,33,good,0,good,149,unhealthy for sensitive groups
Russian Federation,Kraskovo,57,moderate,1,good,21,good,13,good,57,moderate
Ukraine,Kremenchuk,35,good,1,good,35,good,1,good,33,good
India,Krishnagiri,55,moderate,0,good,25,good,0,good,55,moderate
Germany,Kurten,48,good,1,good,25,good,3,good,48,good
Kazakhstan,Kuryk,81,moderate,1,good,33,good,0,good,81,moderate
Guatemala,La Gomera,76,moderate,3,good,20,good,8,good,76,moderate
Honduras,La Paz,74,moderate,1,good,4,good,4,good,74,moderate
Brazil,Lages,17,good,0,good,17,good,0,good,12,good
Germany,Langerwehe,45,good,1,good,24,good,4,good,45,good
India,Lathi,153,unhealthy,0,good,28,good,0,good,153,unhealthy
United States of America,Lemont,57,moderate,2,good,29,good,12,good,57,moderate
Burkina Faso,Leo,26,good,1,good,11,good,0,good,26,good
China,Linping,204,very unhealthy,5,good,204,very unhealthy,6,good,155,unhealthy
Poland,Lipno,36,good,0,good,36,good,0,good,31,good
France,Lourdes,32,good,1,good,32,good,1,good,19,good
Turkey,Luleburgaz,44,good,1,good,44,good,0,good,12,good
United States of America,Lynden,52,moderate,2,good,19,good,13,good,52,moderate
United Kingdom of Great Britain and Northern Ireland,Maesteg,48,good,1,good,21,good,5,good,48,good
Canada,Magog,57,moderate,2,good,9,good,7,good,57,moderate
Brazil,Manaus,40,good,1,good,4,good,1,good,40,good
India,Manvi,67,moderate,0,good,27,good,0,good,67,moderate
United States of America,Gloversville,43,good,1,good,43,good,2,good,35,good
Hungary,God,61,moderate,1,good,36,good,2,good,61,moderate
United States of America,Goleta,42,good,1,good,42,good,6,good,32,good
United States of America,Fredericksburg,53,moderate,1,good,30,good,4,good,53,moderate
Germany,Friedrichsdorf,30,good,0,good,30,good,1,good,26,good
Germany,Dormagen,29,good,0,good,25,good,2,good,29,good
United States of America,Dover,48,good,1,good,35,good,4,good,48,good
United States of America,East Patchogue,43,good,1,good,30,good,9,good,43,good
United States of America,Eastpointe,90,moderate,3,good,21,good,18,good,90,moderate
Equatorial Guinea,Ebebiyin,44,good,1,good,23,good,0,good,44,good
Spain,El Astillero,42,good,0,good,37,good,0,good,42,good
Mexico,El Quince,62,moderate,1,good,8,good,6,good,62,moderate
United Kingdom of Great Britain and Northern Ireland,Chelmsford,27,good,1,good,21,good,8,good,27,good
Russian Federation,Chernenko,48,good,1,good,32,good,0,good,48,good
Ukraine,Chernivtsi,75,moderate,1,good,37,good,1,good,75,moderate
France,Cognac,46,good,1,good,25,good,2,good,46,good
India,Contai,171,unhealthy,2,good,66,moderate,1,good,171,unhealthy
Dominican Republic,Cotui,154,unhealthy,4,good,2,good,15,good,154,unhealthy
Mexico,Coyotepec,166,unhealthy,3,good,11,good,14,good,166,unhealthy
Ecuador,Cuenca,18,good,1,good,4,good,2,good,18,good
Netherlands,Dalfsen,32,good,0,good,32,good,1,good,28,good
India,Dibrugarh,33,good,1,good,23,good,1,good,33,good
United States of America,Dodge City,54,moderate,1,good,24,good,3,good,54,moderate
Slovenia,Domzale,54,moderate,1,good,44,good,0,good,54,moderate
Sri Lanka,Dambulla,51,moderate,0,good,22,good,0,good,51,moderate
Australia,Deception Bay,29,good,0,good,29,good,5,good,27,good
India,Dhar,154,unhealthy,1,good,35,good,0,good,154,unhealthy
India,Dinanagar,132,unhealthy for sensitive groups,2,good,132,unhealthy for sensitive groups,1,good,101,unhealthy for sensitive groups
Japan,Ise,41,good,1,good,41,good,1,good,16,good
Brazil,Itabira,52,moderate,1,good,7,good,3,good,52,moderate
United States of America,Hillsboro,38,good,1,good,24,good,8,good,38,good
Iraq,Hit,158,unhealthy,1,good,47,good,0,good,158,unhealthy
Colombia,Ibague,78,moderate,2,good,2,good,5,good,78,moderate
Russian Federation,Orlovskiy,39,good,1,good,39,good,0,good,21,good
India,Panapakkam,78,moderate,0,good,30,good,0,good,78,moderate
France,Rosny Sous Bois,30,good,1,good,28,good,2,good,30,good
France,Saint Gaudens,32,good,1,good,32,good,1,good,21,good
Paraguay,San Juan Bautista,24,good,0,good,20,good,0,good,24,good
Romania,Santana,73,moderate,1,good,34,good,1,good,73,moderate
Brazil,Sao Raimundo Das Mangabeiras,34,good,1,good,7,good,0,good,34,good
Brazil,Sao Vicente,252,very unhealthy,16,good,0,good,47,good,252,very unhealthy
Brazil,Parelhas,35,good,0,good,18,good,1,good,35,good
United States of America,Parma Heights,42,good,1,good,39,good,3,good,42,good
Indonesia,Pasuruan,99,moderate,1,good,43,good,1,good,99,moderate
Italy,Paterno,50,good,1,good,40,good,1,good,50,good
India,Pauri,79,moderate,2,good,79,moderate,1,good,69,moderate
Brazil,Pedreiras,53,moderate,2,good,1,good,2,good,53,moderate
United States of America,Pierre,45,good,1,good,12,good,4,good,45,good
United States of America,Plano,62,moderate,1,good,22,good,5,good,62,moderate
Indonesia,Plered,116,unhealthy for sensitive groups,3,good,116,unhealthy for sensitive groups,1,good,112,unhealthy for sensitive groups
Albania,Polican,63,moderate,1,good,39,good,1,good,63,moderate
Italy,Pompei,61,moderate,1,good,61,moderate,2,good,49,good
India,Sasni,500,hazardous,1,good,46,good,1,good,433,hazardous
Ghana,Sekondi,70,moderate,1,good,20,good,0,good,70,moderate
India,Shaikhpura,185,unhealthy,1,good,91,moderate,1,good,185,unhealthy
India,Shamli,500,hazardous,4,good,77,moderate,9,good,426,hazardous
Sweden,Skara,31,good,1,good,31,good,1,good,29,good
Russian Federation,Slyudyanka,33,good,1,good,33,good,0,good,28,good
United States of America,Soddy Daisy,56,moderate,2,good,48,good,3,good,56,moderate
Russian Federation,Staryy Oskol,45,good,1,good,31,good,1,good,45,good
Italy,Corleone,86,moderate,1,good,46,good,0,good,86,moderate
Paraguay,Coronel Oviedo,83,moderate,3,good,2,good,2,good,83,moderate
United States of America,Coshocton,75,moderate,2,good,36,good,9,good,75,moderate
United States of America,Cranford,64,moderate,2,good,23,good,14,good,64,moderate
Romania,Curtea De Arges,40,good,1,good,40,good,0,good,40,good
India,Daboh,166,unhealthy,4,good,159,unhealthy,1,good,166,unhealthy
Pakistan,Pindi Gheb,179,unhealthy,2,good,179,unhealthy,1,good,153,unhealthy
Peru,Piura,43,good,0,good,22,good,0,good,43,good
Colombia,Pivijay,111,unhealthy for sensitive groups,2,good,10,good,8,good,111,unhealthy for sensitive groups
India,Pokaran,500,hazardous,0,good,37,good,0,good,500,hazardous
Canada,Port Huron,37,good,1,good,33,good,5,good,37,good
Italy,Riposto,52,moderate,1,good,39,good,1,good,52,moderate
United States of America,Rochester,46,good,1,good,21,good,6,good,46,good
Thailand,Trang,56,moderate,1,good,27,good,0,good,56,moderate
Germany,Traunstein,33,good,1,good,27,good,1,good,33,good
United States of America,Traverse City,30,good,1,good,24,good,5,good,30,good
Sri Lanka,Trincomalee,48,good,0,good,27,good,0,good,48,good
Norway,Tromso,32,good,1,good,32,good,0,good,10,good
United Kingdom of Great Britain and Northern Ireland,Trowbridge,30,good,0,good,30,good,1,good,26,good
United Republic of Tanzania,Tukuyu,19,good,0,good,16,good,0,good,19,good
Sweden,Tumba,43,good,0,good,43,good,0,good,22,good
Brazil,Tupaciguara,33,good,1,good,10,good,1,good,33,good
Myanmar,Twante,58,moderate,0,good,23,good,0,good,58,moderate
India,Udpura,155,unhealthy,1,good,44,good,0,good,155,unhealthy
